GUID,Visual Name,Latest Version,Library Name,Library Version,License Type,Is GPL Family,Is Certified,Popularity
Gantt1448688115699,Gantt,3.4.4.0,Globalize,,MIT,False,True,0.999
InforiverCharts582F6C55AB6442EF8FA129089285CB47,"Inforiver Analytics+ (100+ Charts, Gantt, Cards, Table)",4.9.4.0,jQuery,,MIT,False,True,0.999
InforiverCharts582F6C55AB6442EF8FA129089285CB47,"Inforiver Analytics+ (100+ Charts, Gantt, Cards, Table)",4.9.4.0,Leaflet,,BSD-2-Clause,False,True,0.999
InforiverCharts582F6C55AB6442EF8FA129089285CB47,"Inforiver Analytics+ (100+ Charts, Gantt, Cards, Table)",4.9.4.0,DOMPurify,,Apache-2.0/MPL-2.0,False,True,0.999
InforiverCharts582F6C55AB6442EF8FA129089285CB47,"Inforiver Analytics+ (100+ Charts, Gantt, Cards, Table)",4.9.4.0,Quill,,BSD-3-Clause,False,True,0.999
InforiverCharts582F6C55AB6442EF8FA129089285CB47,"Inforiver Analytics+ (100+ Charts, Gantt, Cards, Table)",4.9.4.0,Globalize,,MIT,False,True,0.999
InforiverCharts582F6C55AB6442EF8FA129089285CB47,"Inforiver Analytics+ (100+ Charts, Gantt, Cards, Table)",4.9.4.0,Chart.js,,MIT,False,True,0.999
ChicletSlicer1448559807354,Chiclet Slicer,2.2.1.0,Globalize,,MIT,False,True,0.998
WordCloud1447959067750,Word Cloud,2.3.4.0,Globalize,,MIT,False,True,0.998
ZebraBITablesBAE31B370F254F808553548EFB35BFA5,Zebra BI Tables,7.8.0.136,Leaflet,,BSD-2-Clause,False,True,0.998
ZebraBITablesBAE31B370F254F808553548EFB35BFA5,Zebra BI Tables,7.8.0.136,Quill,,BSD-3-Clause,False,True,0.998
ZebraBITablesBAE31B370F254F808553548EFB35BFA5,Zebra BI Tables,7.8.0.136,Globalize,,MIT,False,True,0.998
ZebraBITablesBAE31B370F254F808553548EFB35BFA5,Zebra BI Tables,7.8.0.136,JSZip,,MIT/GPL-3.0,True,True,0.998
deneb7E15AEF80B9E4D4F8E12924291ECE89A,Deneb: Declarative Visualization in Power BI,1.9.0.0,Leaflet,,BSD-2-Clause,False,True,0.997
deneb7E15AEF80B9E4D4F8E12924291ECE89A,Deneb: Declarative Visualization in Power BI,1.9.0.0,Vega,,BSD-3-Clause,False,True,0.997
deneb7E15AEF80B9E4D4F8E12924291ECE89A,Deneb: Declarative Visualization in Power BI,1.9.0.0,DOMPurify,,Apache-2.0/MPL-2.0,False,True,0.997
deneb7E15AEF80B9E4D4F8E12924291ECE89A,Deneb: Declarative Visualization in Power BI,1.9.0.0,Globalize,,MIT,False,True,0.997
deneb7E15AEF80B9E4D4F8E12924291ECE89A,Deneb: Declarative Visualization in Power BI,1.9.0.0,TopToJSON / TopoJSON,,ISC,False,True,0.997
GanttChartByMAQSoftware1448688115701,Gantt Chart by MAQ Software,4.0.4.0,Leaflet,,BSD-2-Clause,False,True,0.997
GanttChartByMAQSoftware1448688115701,Gantt Chart by MAQ Software,4.0.4.0,Globalize,,MIT,False,True,0.997
InforiverFilterF39DAE8D57A743EF89F5C3809DEE2B69,Inforiver Super Filter,5.8.9.0,Leaflet,,BSD-2-Clause,False,True,0.997
InforiverFilterF39DAE8D57A743EF89F5C3809DEE2B69,Inforiver Super Filter,5.8.9.0,Globalize,,MIT,False,True,0.997
sankey02300D1BE6F5427989F3DE31CCA9E0F32020,Sankey Chart,3.4.5.0,Globalize,,MIT,False,True,0.997
Timeline1447991079100,Timeline Slicer,2.5.14.0,Globalize,,MIT,False,True,0.997
Datepicker_1687358625,Date Picker,1.0.0.6,Leaflet,,BSD-2-Clause,False,True,0.996
Datepicker_1687358625,Date Picker,1.0.0.6,ag-Grid,,Commercial/MIT,False,True,0.996
Datepicker_1687358625,Date Picker,1.0.0.6,jsrsasign,,MIT,False,True,0.996
htmlContent443BE3AD55E043BF878BED274D3A6855,HTML Content,1.6.0.0,jQuery,,MIT,False,False,0.996
htmlContent443BE3AD55E043BF878BED274D3A6855,HTML Content,1.6.0.0,Globalize,,MIT,False,False,0.996
maps,Maps,1.0.6.3,jQuery,,MIT,False,True,0.996
maps,Maps,1.0.6.3,Globalize,,MIT,False,True,0.996
maps,Maps,1.0.6.3,TopToJSON / TopoJSON,,ISC,False,True,0.996
massFilter2E7137AC1174403C8CF3456F3EB0B7D7,Mass Filter,3.0.0.1,Leaflet,,BSD-2-Clause,False,True,0.996
RadarChart1446119667547,Radar Chart,3.1.3.0,Globalize,,MIT,False,True,0.996
iconMapProE938B1CED4834168A55864E1F8E7242E,Icon Map Pro,1.1.0.2,Leaflet,,BSD-2-Clause,False,False,0.995
iconMapProE938B1CED4834168A55864E1F8E7242E,Icon Map Pro,1.1.0.2,Mapbox GL JS,,BSD-3-Clause,False,False,0.995
iconMapProE938B1CED4834168A55864E1F8E7242E,Icon Map Pro,1.1.0.2,TopToJSON / TopoJSON,,ISC,False,False,0.995
iconMapProE938B1CED4834168A55864E1F8E7242E,Icon Map Pro,1.1.0.2,JSZip,,MIT/GPL-3.0,True,False,0.995
Tachometer1474636471549,Tachometer,3.0.1.0,d3.js,,ISC,False,True,0.995
Tachometer1474636471549,Tachometer,3.0.1.0,jQuery,,MIT,False,True,0.995
Tachometer1474636471549,Tachometer,3.0.1.0,Leaflet,,BSD-2-Clause,False,True,0.995
Tachometer1474636471549,Tachometer,3.0.1.0,Globalize,,MIT,False,True,0.995
Tachometer1474636471549,Tachometer,3.0.1.0,Lodash,,MIT,False,True,0.995
Tachometer1474636471549,Tachometer,3.0.1.0,Chart.js,,MIT,False,True,0.995
BoxandWhiskerByMAQ1823AD39DT234AB532063E128AX,Box and Whisker chart by MAQ Software,4.1.0.1,Leaflet,,BSD-2-Clause,False,True,0.994
BoxandWhiskerByMAQ1823AD39DT234AB532063E128AX,Box and Whisker chart by MAQ Software,4.1.0.1,Globalize,,MIT,False,True,0.994
payPalKPIDonutChart55A431AB15A540ED924ACD72ED8D259F,Circle KPI Gauge,1.0.0.0,d3.js,,ISC,False,False,0.994
payPalKPIDonutChart55A431AB15A540ED924ACD72ED8D259F,Circle KPI Gauge,1.0.0.0,jQuery,,MIT,False,False,0.994
payPalKPIDonutChart55A431AB15A540ED924ACD72ED8D259F,Circle KPI Gauge,1.0.0.0,Leaflet,,BSD-2-Clause,False,False,0.994
payPalKPIDonutChart55A431AB15A540ED924ACD72ED8D259F,Circle KPI Gauge,1.0.0.0,Globalize,,MIT,False,False,0.994
payPalKPIDonutChart55A431AB15A540ED924ACD72ED8D259F,Circle KPI Gauge,1.0.0.0,Lodash,,MIT,False,False,0.994
powerKPIMatrixEB2381CC88A8425FBEB1B07FF57784E6,Power KPI Matrix,3.1.1.0,jQuery,,MIT,False,True,0.994
ScrollingTextVisual1448795304508,Scroller,2.0.3.0,d3.js,,ISC,False,True,0.994
ScrollingTextVisual1448795304508,Scroller,2.0.3.0,jQuery,,MIT,False,True,0.994
ScrollingTextVisual1448795304508,Scroller,2.0.3.0,Leaflet,,BSD-2-Clause,False,True,0.994
ScrollingTextVisual1448795304508,Scroller,2.0.3.0,Globalize,,MIT,False,True,0.994
ScrollingTextVisual1448795304508,Scroller,2.0.3.0,Lodash,,MIT,False,True,0.994
calendarVisual74934D05B71F4C31B0F79D925EE89638,Calendar by MAQ Software,4.3.0.3,Globalize,,MIT,False,True,0.993
PowerSlicerA96234ADB8D143D1837FEC426BB34781,Filter by Powerviz,1.0.0.10,React,,MIT,False,True,0.993
PowerSlicerA96234ADB8D143D1837FEC426BB34781,Filter by Powerviz,1.0.0.10,Leaflet,,BSD-2-Clause,False,True,0.993
PowerSlicerA96234ADB8D143D1837FEC426BB34781,Filter by Powerviz,1.0.0.10,ag-Grid,,Commercial/MIT,False,True,0.993
PowerSlicerA96234ADB8D143D1837FEC426BB34781,Filter by Powerviz,1.0.0.10,Bootstrap,,MIT,False,True,0.993
PowerSlicerA96234ADB8D143D1837FEC426BB34781,Filter by Powerviz,1.0.0.10,jsrsasign,,MIT,False,True,0.993
PowerSlicerA96234ADB8D143D1837FEC426BB34781,Filter by Powerviz,1.0.0.10,Globalize,,MIT,False,True,0.993
stratadatimelineProDB508FD14E2E41D2B5A5522CC05312AELAPIsss,Gantt Timeline,5.4.3.1,Moment.js,,MIT,False,True,0.993
stratadatimelineProDB508FD14E2E41D2B5A5522CC05312AELAPIsss,Gantt Timeline,5.4.3.1,Globalize,,MIT,False,True,0.993
PBI_CV_73744D90_4DC9_4F18_8BA5_EE8FA5C98035,Infographic Designer,1.9.700.0,jQuery,,MIT,False,True,0.993
PBI_CV_73744D90_4DC9_4F18_8BA5_EE8FA5C98035,Infographic Designer,1.9.700.0,React,,MIT,False,True,0.993
PBI_CV_73744D90_4DC9_4F18_8BA5_EE8FA5C98035,Infographic Designer,1.9.700.0,Globalize,,MIT,False,True,0.993
PBI_CV_73744D90_4DC9_4F18_8BA5_EE8FA5C98035,Infographic Designer,1.9.700.0,TopToJSON / TopoJSON,,ISC,False,True,0.993
PBI_CV_7B952816_A48F_49B4_9E13_15E3BB2C0337,Card with States by OKVIZ,1.6.8.0,jQuery,,MIT,False,True,0.992
PBI_CV_7B952816_A48F_49B4_9E13_15E3BB2C0337,Card with States by OKVIZ,1.6.8.0,jsrsasign,,MIT,False,True,0.992
histogramF963F133BA02A0B35D286F09F80E9C78,Histogram Chart (Standard),6.0.2.0,jQuery,,MIT,False,False,0.992
histogramF963F133BA02A0B35D286F09F80E9C78,Histogram Chart (Standard),6.0.2.0,Leaflet,,BSD-2-Clause,False,False,0.992
histogramF963F133BA02A0B35D286F09F80E9C78,Histogram Chart (Standard),6.0.2.0,Plotly.js,,MIT,False,False,0.992
histogramF963F133BA02A0B35D286F09F80E9C78,Histogram Chart (Standard),6.0.2.0,Globalize,,MIT,False,False,0.992
histogramF963F133BA02A0B35D286F09F80E9C78,Histogram Chart (Standard),6.0.2.0,TopToJSON / TopoJSON,,ISC,False,False,0.992
PBI_CV_16948668_E17D_454B_8664_2F2C470EA8C1,Play Axis (Dynamic Slicer),1.1.7.0,d3.js,,ISC,False,True,0.992
PBI_CV_16948668_E17D_454B_8664_2F2C470EA8C1,Play Axis (Dynamic Slicer),1.1.7.0,Leaflet,,BSD-2-Clause,False,True,0.992
SunburstVizA96234ADB8D143D1837FEC426BB34781,Sunburst by Powerviz,1.0.0.10,Leaflet,,BSD-2-Clause,False,True,0.992
SunburstVizA96234ADB8D143D1837FEC426BB34781,Sunburst by Powerviz,1.0.0.10,ag-Grid,,Commercial/MIT,False,True,0.992
SunburstVizA96234ADB8D143D1837FEC426BB34781,Sunburst by Powerviz,1.0.0.10,jsrsasign,,MIT,False,True,0.992
SunburstVizA96234ADB8D143D1837FEC426BB34781,Sunburst by Powerviz,1.0.0.10,DOMPurify,,Apache-2.0/MPL-2.0,False,True,0.992
SunburstVizA96234ADB8D143D1837FEC426BB34781,Sunburst by Powerviz,1.0.0.10,Quill,,BSD-3-Clause,False,True,0.992
