GUID,Visual Name,Latest Version,Is Certified,Popularity,Finding Category,Finding Pattern,Detection Method,ESLint Rule,Code Origin,Library Name,Occurrence Count,Severity,Present in Prior Version
Gantt1448688115699,Gantt,3.4.4.0,True,0.999,Dynamic Code Execution,Function(),Regex,no-banned-terms,Library,(bundled),7,High,
Gantt1448688115699,Gantt,3.4.4.0,True,0.999,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,3,Medium,
InforiverCharts582F6C55AB6442EF8FA129089285CB47,"Inforiver Analytics+ (100+ Charts, Gantt, Cards, Table)",4.9.4.0,True,0.999,Dynamic Code Execution,Function(),Regex,no-banned-terms,Author,,3,High,
InforiverCharts582F6C55AB6442EF8FA129089285CB47,"Inforiver Analytics+ (100+ Charts, Gantt, Cards, Table)",4.9.4.0,True,0.999,Dynamic Code Execution,Function(),Regex,no-banned-terms,Library,(bundled),25,High,
InforiverCharts582F6C55AB6442EF8FA129089285CB47,"Inforiver Analytics+ (100+ Charts, Gantt, Cards, Table)",4.9.4.0,True,0.999,DOM Manipulation,document.write(),Regex,no-document-write,Author,,3,Medium,
InforiverCharts582F6C55AB6442EF8FA129089285CB47,"Inforiver Analytics+ (100+ Charts, Gantt, Cards, Table)",4.9.4.0,True,0.999,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,39,Medium,
InforiverCharts582F6C55AB6442EF8FA129089285CB47,"Inforiver Analytics+ (100+ Charts, Gantt, Cards, Table)",4.9.4.0,True,0.999,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Library,(bundled),1,Medium,
InforiverCharts582F6C55AB6442EF8FA129089285CB47,"Inforiver Analytics+ (100+ Charts, Gantt, Cards, Table)",4.9.4.0,True,0.999,DOM Manipulation,.html(data),Regex,no-implied-inner-html,Author,,4,Medium,
InforiverCharts582F6C55AB6442EF8FA129089285CB47,"Inforiver Analytics+ (100+ Charts, Gantt, Cards, Table)",4.9.4.0,True,0.999,Sensitive Access,document.domain,Regex,no-document-domain,Author,,1,Medium,
InforiverCharts582F6C55AB6442EF8FA129089285CB47,"Inforiver Analytics+ (100+ Charts, Gantt, Cards, Table)",4.9.4.0,True,0.999,Informational,Math.random(),Regex,insecure-random,Author,,51,Low,
textFilter25A4896A83E0487089E2B90C9AE57C8A,Text Filter,2.2.9.0,True,0.999,Dynamic Code Execution,Function(),Regex,no-banned-terms,Library,(bundled),1,High,
textFilter25A4896A83E0487089E2B90C9AE57C8A,Text Filter,2.2.9.0,True,0.999,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,3,Medium,
textFilter25A4896A83E0487089E2B90C9AE57C8A,Text Filter,2.2.9.0,True,0.999,Informational,http:// URL,Regex,no-http-string,Author,,15,Low,
textFilter25A4896A83E0487089E2B90C9AE57C8A,Text Filter,2.2.9.0,True,0.999,Informational,http:// URL,Regex,no-http-string,Library,(bundled),2,Low,
ChicletSlicer1448559807354,Chiclet Slicer,2.2.1.0,True,0.998,Dynamic Code Execution,Function(),Regex,no-banned-terms,Library,(bundled),2,High,
ChicletSlicer1448559807354,Chiclet Slicer,2.2.1.0,True,0.998,Network Access,XMLHttpRequest,Regex,(certification requirement),Author,,1,High,
ChicletSlicer1448559807354,Chiclet Slicer,2.2.1.0,True,0.998,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,3,Medium,
ChicletSlicer1448559807354,Chiclet Slicer,2.2.1.0,True,0.998,Informational,http:// URL,Regex,no-http-string,Author,,15,Low,
ChicletSlicer1448559807354,Chiclet Slicer,2.2.1.0,True,0.998,Informational,http:// URL,Regex,no-http-string,Library,(bundled),2,Low,
textSearchSlicerF85E2E78BE4A4D7D9F99ED75B5D71C85,Text search slicer,1.1.0.0,True,0.998,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,3,Medium,
textSearchSlicerF85E2E78BE4A4D7D9F99ED75B5D71C85,Text search slicer,1.1.0.0,True,0.998,Informational,http:// URL,Regex,no-http-string,Author,,15,Low,
textSearchSlicerF85E2E78BE4A4D7D9F99ED75B5D71C85,Text search slicer,1.1.0.0,True,0.998,Informational,http:// URL,Regex,no-http-string,Library,(bundled),2,Low,
textSearchSlicerF85E2E78BE4A4D7D9F99ED75B5D71C85,Text search slicer,1.1.0.0,True,0.998,Informational,Math.random(),Regex,insecure-random,Author,,2,Low,
WordCloud1447959067750,Word Cloud,2.3.4.0,True,0.998,Dynamic Code Execution,Function(),Regex,no-banned-terms,Library,(bundled),8,High,
WordCloud1447959067750,Word Cloud,2.3.4.0,True,0.998,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,3,Medium,
ZebraBITablesBAE31B370F254F808553548EFB35BFA5,Zebra BI Tables,7.8.0.136,True,0.998,Dynamic Code Execution,eval(),Regex,no-banned-terms,Library,(bundled),4,High,
ZebraBITablesBAE31B370F254F808553548EFB35BFA5,Zebra BI Tables,7.8.0.136,True,0.998,Dynamic Code Execution,Function(),Regex,no-banned-terms,Author,,5,High,
ZebraBITablesBAE31B370F254F808553548EFB35BFA5,Zebra BI Tables,7.8.0.136,True,0.998,Dynamic Code Execution,Function(),Regex,no-banned-terms,Library,(bundled),8,High,
ZebraBITablesBAE31B370F254F808553548EFB35BFA5,Zebra BI Tables,7.8.0.136,True,0.998,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,7,Medium,
ZebraBITablesBAE31B370F254F808553548EFB35BFA5,Zebra BI Tables,7.8.0.136,True,0.998,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Library,(bundled),11,Medium,
ZebraBITablesBAE31B370F254F808553548EFB35BFA5,Zebra BI Tables,7.8.0.136,True,0.998,DOM Manipulation,.html(data),Regex,no-implied-inner-html,Library,(bundled),1,Medium,
ZebraBITablesBAE31B370F254F808553548EFB35BFA5,Zebra BI Tables,7.8.0.136,True,0.998,Sensitive Access,document.domain,Regex,no-document-domain,Author,,1,Medium,
