Visual Name,Publisher,GUID,Latest Version,Is Certified,Popularity,Risk Level,Risk Score,Author Findings,Library Findings,Dynamic Code (Author),Network Access (Author),DOM Manipulation (Author),Sensitive Access (Author),Informational (Author),Web Access Permission,Export Content Permission,Local Storage Permission,AAD Auth Permission,External JS Count,Detected Libraries,API Version,Has GPL License,Versions Scanned,Findings Resolved in Latest
Gantt,Microsoft Corporation,Gantt1448688115699,3.4.4.0,True,0.999,High,15,3,7,0,0,3,0,0,False,False,False,False,0,Globalize,5.11.0,False,7,0
"Inforiver Analytics+ (100+ Charts, Gantt, Cards, Table)",xViz LLC dba Lumel,InforiverCharts582F6C55AB6442EF8FA129089285CB47,4.9.4.0,True,0.999,High,94,101,26,3,0,46,1,51,False,True,False,False,0,jQuery; Leaflet; DOMPurify; Quill; Globalize; Chart.js,5.10.0,False,11,0
Text Filter,Microsoft Corporation,textFilter25A4896A83E0487089E2B90C9AE57C8A,2.2.9.0,True,0.999,High,18,18,3,0,0,3,0,15,False,False,False,False,0,,5.3.0,False,2,0
Chiclet Slicer,Microsoft Corporation,ChicletSlicer1448559807354,2.2.1.0,True,0.998,High,36,19,4,0,1,3,0,15,True,False,False,False,0,Globalize,5.4.0,False,3,0
Text search slicer,DataBrothers s.r.o.,textSearchSlicerF85E2E78BE4A4D7D9F99ED75B5D71C85,1.1.0.0,True,0.998,High,20,20,2,0,0,3,0,17,False,False,False,False,0,,5.4.0,False,2,0
Word Cloud,Microsoft Corporation,WordCloud1447959067750,2.3.4.0,True,0.998,High,15,3,8,0,0,3,0,0,False,False,False,False,0,Globalize,5.11.0,False,2,1
Zebra BI Tables,Zebra BI,ZebraBITablesBAE31B370F254F808553548EFB35BFA5,7.8.0.136,True,0.998,High,52,103,30,5,0,7,1,90,False,True,True,False,0,Leaflet; Quill; Globalize; JSZip,5.10.0,True,14,1
Deneb: Declarative Visualization in Power BI,Daniel Marsh-Patrick,deneb7E15AEF80B9E4D4F8E12924291ECE89A,1.9.0.0,True,0.997,High,86,57,7,7,1,19,0,30,False,True,False,False,0,Leaflet; Vega; DOMPurify; Globalize; TopToJSON / TopoJSON,5.11.0,False,7,0
Gantt Chart by MAQ Software,MAQ LLC,GanttChartByMAQSoftware1448688115701,4.0.4.0,True,0.997,High,45,17,4,1,0,10,1,5,False,False,False,False,0,Leaflet; Globalize,5.11.0,False,4,0
Inforiver Super Filter,xViz LLC dba Lumel,InforiverFilterF39DAE8D57A743EF89F5C3809DEE2B69,5.8.9.0,True,0.997,High,66,35,3,3,0,8,0,24,False,True,True,False,0,Leaflet; Globalize,5.11.0,False,9,0
Sankey Chart,Microsoft Corporation,sankey02300D1BE6F5427989F3DE31CCA9E0F32020,3.4.5.0,True,0.997,High,15,3,1,0,0,3,0,0,False,False,False,False,0,Globalize,5.11.0,False,4,1
Timeline Slicer,Microsoft Corporation,Timeline1447991079100,2.5.14.0,True,0.997,High,18,34,4,0,0,3,0,31,False,False,False,False,0,Globalize,5.11.0,False,6,0
Date Picker,TRUVIZ INC,Datepicker_1687358625,1.0.0.6,True,0.996,High,58,131,29,4,0,53,2,72,False,False,False,False,0,Leaflet; ag-Grid; jsrsasign,5.8.0,False,2,0
HTML Content,Daniel Marsh-Patrick,htmlContent443BE3AD55E043BF878BED274D3A6855,1.6.0.0,False,0.996,High,50,11,0,0,1,8,0,2,True,False,False,False,0,jQuery; Globalize,5.10.0,False,4,0
Maps,relevantVisuals,maps,1.0.6.3,True,0.996,High,18,6,0,0,0,3,0,3,False,False,False,False,0,jQuery; Globalize; TopToJSON / TopoJSON,5.10.0,False,17,0
Mass Filter,Insiders.coop,massFilter2E7137AC1174403C8CF3456F3EB0B7D7,3.0.0.1,True,0.996,High,31,23,4,1,0,3,1,18,False,False,False,False,0,Leaflet,5.11.0,False,3,0
Radar Chart,Microsoft Corporation,RadarChart1446119667547,3.1.3.0,True,0.996,High,40,8,2,0,1,7,0,0,False,False,False,False,0,Globalize,5.8.0,False,2,3
Advance Card,Bhavesh Jadav,advanceCardE03760C5AB684758B56AA29F9E6C257B,2.1.1.0,True,0.995,High,57,9,3,3,1,3,0,2,False,False,False,False,0,,2.1.0,False,2,0
Icon Map Pro,Tekantis,iconMapProE938B1CED4834168A55864E1F8E7242E,1.1.0.2,False,0.995,High,120,304,14,5,105,41,1,152,True,False,True,False,0,Leaflet; Mapbox GL JS; TopToJSON / TopoJSON; JSZip,5.10.0,True,16,0
Simple Image,Vincent Faigt,simpleImageEBC4593F96F1425FB3D84C5BF02B5075,1.0.2.0,False,0.995,None,0,0,0,0,0,0,0,0,False,False,False,False,1,,1.13.0,False,2,0
Tachometer,Annik Inc,Tachometer1474636471549,3.0.1.0,True,0.995,High,73,28,3,1,3,15,0,9,False,False,False,False,12,d3.js; jQuery; Leaflet; Globalize; Lodash; Chart.js,1.4.0,False,2,0
Box and Whisker chart by MAQ Software,MAQ LLC,BoxandWhiskerByMAQ1823AD39DT234AB532063E128AX,4.1.0.1,True,0.994,High,55,18,2,2,0,10,1,5,False,False,False,False,0,Leaflet; Globalize,5.8.0,False,2,1
