Custom Visual,Publisher,Description,GUID
Advanced Toggle Switch by TME AG,TME AG,Show and hide multiple data fields with switch on/off,advancedtoggleswitch
Progress Bar | Viz Data Ltd,Emma Saunders,"Beautiful visual, showing flow of your categories with interlocking arrows",arrows321CEDBC9371489AAF74CD8234407E15
Attribute Slicer,Microsoft,"This visual is experimental and not actively being developed, only major issues will be addressed. Attribute Slicer lets you filter a dataset on a given column by selecting attribute values of interest. The initial display is a helpful overview that lists the most common values first and shows the overall distribution of values as a horizontal bar chart. Whenever you select an attribute value, it is moved to the list of applied filters and all records containing that value are added to the result set for further analysis.",AttributeSlicer1652434005853
Bubble Comparison Chart,visiochart,"A Bubble Comparison Chart is a data visualization method that employs circles or bubbles to represent data points, making it easier to compare and contrast information.  Each bubble's size typically corresponds to a specific data value and by using color, these charts conveies multiple layers of information simultaneously. Bubble Comparison Charts are especially effective when you want to highlight relationships, trends, or variations within a dataset, making them a valuable tool for data analysis and decision-making.",bubbleComparisonChartDA4D587B1FEA424BB7D48276602F8798
Card Browser,Microsoft,ESSEX Card Browser,CardBrowser8D7CFFDA2E7E400C9474F41B9EDBBA58
Craydec Control Charts,"Craydec, Inc.",Control Charts for Power BI,cdControlChart52F830844F134A04A4F0FC09DBEE5576
Craydec Regression Chart,"Craydec, Inc.",Regression Chart,cdRegressionChartFEDFE3FECE5F4724A9EAF1D1F0D509A3
Craydec Timelines,"Craydec, Inc.",Visualize dates and ranges as timelines.,cdTimelinesA399BDD5831D40CD8E83DCCD13A986BE
Microsoft Charticulator,Microsoft,An interactive authoring tool that enables the creation of bespoke and reusable chart layouts,charticulator58556A88422D44A99D9BF0052B958F87
Drilldown choropleth,Microsoft,"Chorpleth works for multiple level of maps which is maximum set to 3 currently.By default it has few maps for more than 1 level of map hirarchy, user can provide their own maps to render in TopoJSON format.",choropleth4C77906D867C4C09AFE83BA5E2AA106A
circlecard,author,test,circlecardA5C5C1B443AE46FEBAF6069C7340FFE0
Cluster Map,Microsoft (experimental),"This visual is currently in beta testing and is undergoing active development. Cluster Map displays labeled groups of related documents using image mosaics. Clusters can be arranged in a “spiral” layout around a dominant cluster or in a “relational” layout in which clusters are arranged by degree of relatedness.  Click a cluster to invoke highlighting in linked visuals, or invoke highlighting from a linked visual to see the proportion of documents in each cluster that match the highlight criteria. Cluster Map is designed for use with Facet Key and Strippet Browser.",ClusterMap1652434605854
Comparison Chart,mogular GmbH,A comparison chart that allows the comparison of categorized data to a related or unrelated reference graph,comparisonChartByMogular
countdown,Diego1149,A basic countdown after setting a date,countdownFA24FE5944D34ADD929D0DAE6EE57D70
DataMa - PowerBI,DataMa,DataMa extension for PowerBI,DataMaExtension
Dot Plot by OKViz,OKViz - a trademark of SQLBI,"Dot Plot by OKViz allows you to compare multiple measures by their magnitude, representing each data point with a simple dot.",dotPlotByOKViz24930F8B0456488F85D4AF007BF0F855
Drilldown cartogram,Microsoft,"Map draws cartogram (circles) for each location, User can control size and color of circle to represents two different dimension together. This visual supports muli-level hierachy (Maximum of 3 levels).",drilldownCartogramD5E1077C70074FFCB26AFC2A636614BF
DualCard,Inservit LLC,Custom visual to compare two measures.,dualCardBEB94A6387034DB489DAE31904884099
Facet Key,Microsoft (experimental),"This visual is currently in beta testing and is undergoing active development. Facet Key (right) displays the most common matches in facets of a document set, indicating how many documents match each facet value. It can also be used to interpret icon mappings in linked visuals. Click facet values to highlight matches in linked visuals, or invoke highlighting from a linked visual to see top matches in the highlighted set. Facet Key is designed for use with Cluster Map (left) and Strippet Browser.",FacetKey1642434105454
Fan Tail by FlashBI,Missilent,FanTail licence test,fanlice2A78A07F2F3E421E9BB61C0CD7D005C0
Fan Tail by FlashBI,Missilent,FanTail,fanTail2A78A07F2F3E421E9BB61C0CD7D005C0
JVIZ Gantt 1.0.0.2,JVIZ,Stay in control of your project portfolio and organize tasks into an engaging presentation.,ganttA5AD7B4D800549099E9DA8A15E9BC102
GlobeMap,Microsoft,"A 3D visual using WebGL for plotting locations, with category values displayed as bar heights and heat maps.

Shift+Click on bar to change center point. 
Slicing data points will animate to average location.

Attributions:
three.js - https://github.com/mrdoob/three.js/
webgl-heatmap - https://github.com/pyalot/webgl-heatmap",GlobeMap1447669447625
Growth Rate Chart,Djeeni BV,Enhances the functionality of a line and column chart by adding an extra relative or absolute comparison between selected columns,DjeeniGrowthRateChart_10300020A6CA2A4124B79C0FF6A4D9EE59
hansTestPbiVisualProd230410_1,Shi Han,HansTestPbiVisualProd230410_1,hansTestPbiVisualProd230410546C605C79F448B48FC6C71927B90253
Heat Streams,Microsoft (experimental),Visualize and compare categorical data values over time using heatmap-style color gradients.,heatStreams74779FE5319F4655BE62C4C5FD0ABFB1
iconMapV3,James Dales,"Map Visual for Power BI based on the Leaflet library. Provides the ability to draw images, lines, Well Known Text (WKT), GeoJson layers on a map with custom backgrounds, overlays with WMS support.",iconMapV34089C0EB522B416294AA926F71B4FDBB
Image by CloudScope (3.0.0.1),"CloudScope, LLC",A data-bound image control,imageD085F8B064414127B7A319584AF3576E
InfoCard,Inservit LLC,Custom visual card with KPI and advanced formatting options.,InfoCard20C2BF75F48447AC938F5C499D100557
Inforiver EDITable(1.5.0.0),Lumel Technologies,EDITable by Lumel,inforiverEditable2B7A5FD2992D434DAE0B149479307B7B
LinedInsights - CloudServe Systems Pvt Ltd,CloudServe Systems Pvt Ltd,Custom Lined Chart for Power BI,linedInsights9798EAD66E9A463888FFD4C7F9ADAA32
Metric | Viz Data,Emma Saunders,"Attractive KPI visual, which lets you style and position the font and label within boxes",metricEE3B04F338A8410A8B2A469D2BA413FD
ComboChart-Monthly-Base-Axis,Dunboxed,Monthly Combo Chart,monthlycombovizB7F8CB4A472E4248BBC371C5C3157F55
Multi Card KPIs by TME AG,TME AG,A multiple cards Power BI visual to display and compare KPIs,multicardkpis
