Custom Visual,Publisher,Description,Version,LegalTerms,PrivacyPolicyUrl,SupportLink,Release Date,AppSource Link,Is Certified,Versioned pbiviz,Visual GUID
Financial Reporting Matrix by Profitbase,Profitbase AS,"Easily build financial reports with line formatting, conditional formatting, subtotals and more.",8.0.0.7,https://www.profitbase.com/license-terms-financial-reporting-matrix/,https://www.profitbase.com/privacy-policy-2/,https://github.com/Profitbase/PowerBI-visuals-FinancialReportingMatrix,12/20/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/WA200000642,Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/financialreportingmatrixD8A502553641450F8EAEB9BA40B2166E.8.0.0.7.pbiviz,financialreportingmatrixD8A502553641450F8EAEB9BA40B2166E
Metric,Viz Data Ltd,"Stylish visual that reduces a series to a single value, using intelligent notation for large values",1.0.0.10,https://go.microsoft.com/fwlink/?linkid=2041178,https://vizdata.co.uk/#/powerbi/privacy,https://vizdata.co.uk/#/powerbi/metric,12/19/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/viz_data.metric2,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/metric_vizdataltd.1.0.0.10.pbiviz,metric_vizdataltd
Power BI Feedback Pro,ALTORO CONSULTING GROUP - SL,"Collect user feedback with ratings and comments, seamlessly integrated with Azure Application Insigh",1.0.10.0,https://www.altoroanalytics.com/powerbi-visuals/license-agreement,https://www.altoroanalytics.com/powerbi-visuals/privacy-statement,https://www.altoroanalytics.com/powerbi-visuals/user-feedback-pro,12/19/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/altoroconsultinggroupsl1697824098127.powerbi_feedback_pro,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/pbifeedbackB89B8A14BF284F028531799ACD3DAFC0.1.0.10.0.pbiviz,pbifeedbackB89B8A14BF284F028531799ACD3DAFC0
WeWrite Matrix,SOLVED,A custom matrix visual with write-back capabilities,1.4.1.9,https://wewritevisuals.com/eula/,https://wewritevisuals.com/privacy-policy/,https://wewritevisuals.com/contact/,12/19/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/solveddoo1696267674162.wewrite_matrix,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/weWriteMatrix3B61E90280E14C7ABB4F5A846544520B.1.4.1.9.pbiviz,weWriteMatrix3B61E90280E14C7ABB4F5A846544520B
Animated Treemap by iFour,iFour Technolab Pvt. Ltd.,Dynamic visualization that displays hierarchical data using nested rectangles,1.0.0.0,https://www.ifourtechnolab.com/eula,https://www.ifourtechnolab.com/power-bi-custom-visuals-privacy-terms,https://www.ifourtechnolab.com/contact-us,12/18/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/ifourtechnolabprivatelimited1715753920355.ifourtechnolab_animatedtreemap,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/animatedtreemapD657B9D17F0JIOU125413445583CD2F21175CD7EF.1.0.0.0.pbiviz,animatedtreemapD657B9D17F0JIOU125413445583CD2F21175CD7EF
Craydec Regression Chart,Craydec Oy,Scatter chart with linear regression for large datasets. Easy to use and fast. With small multiples.,1.1.1.0,https://pinpointprod.z14.web.core.windows.net/marketing/Partner_21474848791/Product_42949682940/Asset_7d21d918-b6a1-418c-846d-d8058a2a9c3e/eula.pdf,https://craydec.com/privacy-policy/,https://craydec.com/regression-chart-support/,12/18/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/WA104382030,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/cdRegressionChartFEDFE3FECE5F4724A9EAF1D1F0D509A3.1.1.1.0.pbiviz,cdRegressionChartFEDFE3FECE5F4724A9EAF1D1F0D509A3
Enlighten Legend,ENLIGHTEN DESIGNS,"Create independent interactives legends, allowing you creativity and flexibility",1.0.2.1,https://go.microsoft.com/fwlink/?linkid=2041178,https://www.enlighten.co.nz/Enlighten%20Power%20BI%20Custom%20Visuals%20Privacy%20Statement,https://www.enlighten.co.nz/contact,12/18/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/WA104381948,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/enlightenLegend0ED91DCE508743998CF5A23E37414AD6.1.0.2.1.pbiviz,enlightenLegend0ED91DCE508743998CF5A23E37414AD6
Inforiver Analytics+ (100+Charts+Cards+Tables),xViz LLC dba Lumel,"IBCS, 100+ Charts: Waterfall, Bullet, Box Plot, Marimekko, Radar/Polar, Stacked, Combo, Dual Axis",4.2.0.0,https://inforiver.com/agreement/,https://inforiver.com/privacy-policy/,https://inforiver.com/contact-us/,12/18/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/xviz.inforiver-charts,Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/InforiverCharts582F6C55AB6442EF8FA129089285CB47.4.2.0.0.pbiviz,InforiverCharts582F6C55AB6442EF8FA129089285CB47
Maps,pbi-consultants,Interactive Visual for Geospatial Data,1.0.0.5,https://go.microsoft.com/fwlink/?linkid=2041178,https://www.pbi-berater.de/index.php/en/visuals-en/maps/maps-priv-en,https://www.pbi-berater.de/index.php/en/visuals-en/maps/maps-docu-en,12/18/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/pbi-beraterde1699450736408.3d_map,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/maps.1.0.0.5.pbiviz,maps
Matrix Planner,Ilustratown,Facilitates planning and forecasting through writeback functionality within Power BI,1.0.1.49,https://go.microsoft.com/fwlink/?linkid=2041178,https://matrixplanner.ilustratown.com/privacy-policy/,https://matrixplanner.ilustratown.com/support/,12/18/2024,https://appsource.microsoft.com/en-us/product/power-bi-visuals/ilustratown-informaotecnologicalda1702558265404.matrix_planner,Not Certified,https://github.com/DataChant/PowerBI-Visuals-AppSource/blob/main/All%20Visuals/PBIVIZ%20with%20versions/matrixPlanner2E230FC900184D72ABEE6E2A87B30E6A.1.0.1.49.pbiviz,matrixPlanner2E230FC900184D72ABEE6E2A87B30E6A
